date,feature_index,O3
2026-01-17T00:00:00.000Z,0,0.11217216749986013
2026-01-15T00:00:00.000Z,0,0.11315297335386276
2026-01-11T00:00:00.000Z,0,0.113425841430823
2026-01-14T00:00:00.000Z,0,0.11153960277636846
2026-01-13T00:00:00.000Z,0,0.11314089422424635
2026-01-16T00:00:00.000Z,0,0.11193995003898939
2026-01-18T00:00:00.000Z,0,0.11378923654556275
2026-01-12T00:00:00.000Z,0,0.11397771884997686
2026-04-16T00:00:00.000Z,0,0.11695970023671785
2026-04-13T00:00:00.000Z,0,0.11758454690376917
2026-04-15T00:00:00.000Z,0,0.11587759777903557
2026-04-12T00:00:00.000Z,0,0.11761616071065267
2026-04-10T00:00:00.000Z,0,0.1178907925883929
2026-04-11T00:00:00.000Z,0,0.11911917527516683
2026-04-09T00:00:00.000Z,0,0.1179710974295934
2026-04-14T00:00:00.000Z,0,0.1166093111038208
2026-07-28T00:00:00.000Z,0,0.11898386056224505
2026-07-24T00:00:00.000Z,0,0.1164448911945025
2026-07-25T00:00:00.000Z,0,0.11947132597366969
2026-07-26T00:00:00.000Z,0,0.12127124990026156
2026-07-22T00:00:00.000Z,0,0.11376527299483617
2026-07-29T00:00:00.000Z,0,0.12013272518912951
2026-07-23T00:00:00.000Z,0,0.11619800180196763
2026-07-27T00:00:00.000Z,0,0.1184853658080101
2026-03-03T00:00:00.000Z,0,0.11252758949995041
2026-03-05T00:00:00.000Z,0,0.11223602990309398
2026-03-06T00:00:00.000Z,0,0.11480333805084228
2026-03-02T00:00:00.000Z,0,0.11497573877374331
2026-03-01T00:00:00.000Z,0,0.11413735598325729
2026-03-04T00:00:00.000Z,0,0.11254604707161585
2026-02-28T00:00:00.000Z,0,0.11350259979565938
2026-03-07T00:00:00.000Z,0,0.11555645763874053
2026-07-21T00:00:00.000Z,0,0.11327023158470789
2026-07-15T00:00:00.000Z,0,0.11676187043388685
2026-07-20T00:00:00.000Z,0,0.11522762849926949
2026-07-17T00:00:00.000Z,0,0.11570498620470365
2026-07-16T00:00:00.000Z,0,0.11508763954043388
2026-07-14T00:00:00.000Z,0,0.11696966141462325
2026-07-19T00:00:00.000Z,0,0.11717239518960317
2026-07-18T00:00:00.000Z,0,0.11579125771919886
2026-01-03T00:00:00.000Z,0,0.11188213502367338
2026-01-04T00:00:00.000Z,0,0.11319179187218348
2026-01-06T00:00:00.000Z,0,0.11199812144041062
2026-01-10T00:00:00.000Z,0,0.11361847048004468
2026-01-07T00:00:00.000Z,0,0.11414170314868291
2026-01-08T00:00:00.000Z,0,0.11399148851633072
2026-01-05T00:00:00.000Z,0,0.11248710850874583
2026-01-09T00:00:00.000Z,0,0.11458438634872437
2026-02-04T00:00:00.000Z,0,0.1151276263097922
2026-02-05T00:00:00.000Z,0,0.11476592620213827
2026-02-11T00:00:00.000Z,0,0.1138032520810763
2026-02-06T00:00:00.000Z,0,0.11432770242293676
2026-02-09T00:00:00.000Z,0,0.11387416794896126
2026-02-07T00:00:00.000Z,0,0.11401291290918986
2026-02-08T00:00:00.000Z,0,0.11558967108527819
2026-02-10T00:00:00.000Z,0,0.11369622796773911
2026-06-03T00:00:00.000Z,0,0.11520982682704925
2026-05-29T00:00:00.000Z,0,0.11861790915330252
2026-06-02T00:00:00.000Z,0,0.11670533294479052
2026-06-01T00:00:00.000Z,0,0.11662916789452235
2026-05-30T00:00:00.000Z,0,0.11715277979771296
