date,feature_index,CO
2025-10-11T00:00:00.000Z,0,0.029615191742777824
2025-10-12T00:00:00.000Z,0,0.02839202620089054
2025-10-14T00:00:00.000Z,0,0.03542415797710419
2025-10-09T00:00:00.000Z,0,0.040269892662763596
2025-10-13T00:00:00.000Z,0,0.027898714877665043
2025-10-10T00:00:00.000Z,0,0.03516548499464989
2025-10-07T00:00:00.000Z,0,0.046600909903645515
2025-10-08T00:00:00.000Z,0,0.03251640871167183
2025-12-19T00:00:00.000Z,0,
2025-12-23T00:00:00.000Z,0,0.028447959572076797
2025-12-18T00:00:00.000Z,0,0.02594549860805273
2025-12-25T00:00:00.000Z,0,0.029784629121422768
2025-12-21T00:00:00.000Z,0,
2025-12-24T00:00:00.000Z,0,
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,
2026-02-25T00:00:00.000Z,0,
2026-02-23T00:00:00.000Z,0,
2026-02-24T00:00:00.000Z,0,
2026-02-26T00:00:00.000Z,0,
2026-02-22T00:00:00.000Z,0,
2026-02-21T00:00:00.000Z,0,
2026-02-20T00:00:00.000Z,0,0.026424024254083633
2026-02-27T00:00:00.000Z,0,0.023276004940271378
2026-03-08T00:00:00.000Z,0,
2026-03-09T00:00:00.000Z,0,0.033251767978072166
2026-03-12T00:00:00.000Z,0,0.02584175579249859
2026-03-10T00:00:00.000Z,0,0.03200901113450527
2026-03-13T00:00:00.000Z,0,0.027403795160353184
2026-03-15T00:00:00.000Z,0,0.031326256692409515
2026-03-11T00:00:00.000Z,0,
2026-03-14T00:00:00.000Z,0,0.031526800245046616
2026-03-19T00:00:00.000Z,0,
2026-03-16T00:00:00.000Z,0,0.03167160227894783
2026-03-21T00:00:00.000Z,0,0.023741981014609337
2026-03-22T00:00:00.000Z,0,
2026-03-23T00:00:00.000Z,0,0.030135128647089005
2026-03-20T00:00:00.000Z,0,0.025751670822501183
2026-03-17T00:00:00.000Z,0,
2026-03-18T00:00:00.000Z,0,0.025842059403657913
2026-05-15T00:00:00.000Z,0,0.025416105054318905
2026-05-17T00:00:00.000Z,0,0.021326541900634766
2026-05-11T00:00:00.000Z,0,0.030480523593723774
2026-05-16T00:00:00.000Z,0,0.02749171294271946
2026-05-18T00:00:00.000Z,0,0.032527413219213486
2026-05-12T00:00:00.000Z,0,0.027884693816304207
2026-05-14T00:00:00.000Z,0,
2026-05-13T00:00:00.000Z,0,0.026122547686100006
2026-06-13T00:00:00.000Z,0,0.030842626467347145
2026-06-16T00:00:00.000Z,0,0.03102734684944153
2026-06-15T00:00:00.000Z,0,
2026-06-19T00:00:00.000Z,0,0.03485364653170109
2026-06-18T00:00:00.000Z,0,0.02681911736726761
2026-06-14T00:00:00.000Z,0,0.027188293635845184
