date,SO2
2025-11-30,
2025-11-26,
2025-11-25,
2025-11-28,
2025-11-29,
2025-12-01,
2025-11-27,
2025-11-24,
2026-05-02,0.0004033593868371099
2026-04-26,0.0001085157273337245
2026-04-25,0.00016879937902558595
2026-05-01,5.204707122175023e-05
2026-04-27,0.0002186943311244249
2026-04-29,
2026-04-30,
2026-04-28,0.0001559602387715131
2026-08-28,-0.00010197131337008614
2026-08-25,1.971011522527988e-05
2026-08-27,9.374592627864332e-05
2026-08-24,0.0006161672645248473
2026-08-29,-0.00035593167467595777
2026-08-26,-0.00012490306653489824
2026-08-30,2.5227302103303373e-05
2026-08-23,-0.00020029928418807683
2025-09-20,
2025-09-16,0.00032959022792056203
2025-09-18,
2025-09-15,-0.00011399836512282492
2025-09-14,0.0004295411199564114
2025-09-19,1.488284942752216e-05
2025-09-13,8.476210496155545e-06
2025-09-17,9.558727651892696e-05
2025-11-10,
2025-11-14,
2025-11-12,
2025-11-08,
2025-11-09,
2025-11-13,-1.854788388300221e-05
2025-11-11,
2025-11-15,
2026-03-03,-0.0001188215974252671
2026-03-05,
2026-03-06,
2026-03-02,
2026-03-01,
2026-03-04,
2026-02-28,
2026-03-07,
2026-03-08,
2026-03-09,-5.891154069104232e-05
2026-03-12,
2026-03-10,0.00014944739814382046
2026-03-13,-4.4715814510709606e-05
2026-03-15,-9.229316401615506e-05
2026-03-11,-0.0003261935489717871
2026-03-14,0.0001865373196778819
2026-06-03,-8.417622484557796e-05
2026-05-29,0.0002356664335820824
2026-06-02,9.16412718652282e-05
2026-06-01,-5.231075192568824e-06
2026-05-30,0.00014146296234684996
2026-05-28,6.070356175769121e-05
2026-05-27,-7.065900490488275e-05
2026-05-31,-7.66498051234521e-05
2026-07-02,-0.00047168855962809175
2026-07-04,-0.0001358407607767731
2026-07-03,-3.7108980905031785e-05
2026-07-01,0.0008667271686135791
2026-06-29,0.0002400406738161109
2026-06-30,-0.0005473966593854129
2026-07-05,0.00027304240211378783
2026-06-28,0.0006933911354281008
2025-10-11,-0.0002190898921980988
2025-10-12,0.00011321977945044635
2025-10-14,0.00012712314492091537
2025-10-09,0.0001426011040166486
2025-10-13,-0.0001829383754738956
2025-10-10,
2025-10-07,0.0005070285260444507
2025-10-08,0.0006407067885447759
2026-02-03,-0.00028739238041453063
2026-02-01,
2026-01-31,1.506120588601334e-05
2026-01-28,
2026-01-29,
2026-02-02,
2026-01-27,
2026-01-30,
2026-04-16,0.0004261644426151179
2026-04-13,-0.00012809229519916698
2026-04-15,0.0006612313154619187
2026-04-12,0.0008603560272604227
2026-04-10,
2026-04-11,0.0004119914083275944
2026-04-09,-3.736066446435871e-06
2026-04-14,0.0005230281240073964
2025-10-27,
2025-10-23,0.0003651509396149777
2025-10-29,
2025-10-26,
2025-10-28,
2025-10-30,0.0005028335726819932
2025-10-25,
2025-10-24,
2025-12-04,
2025-12-05,0.000547834555618465
2025-12-02,
2025-12-06,-4.699883356806822e-05
2025-12-09,
2025-12-08,
2025-12-03,4.753224129672162e-05
2025-12-07,-2.10918969969498e-05
2025-09-08,4.05956780014094e-05
2025-09-10,-1.899712333397474e-05
2025-09-12,0.0002339102211408317
2025-09-11,-0.0007704516756348312
2025-09-06,0.0003114754508715123
2025-09-07,
2025-09-09,8.947302558226511e-05
2025-09-05,0.0009457167761866004
2025-11-06,
2025-11-03,-0.0004920402425341308
2025-11-05,
2025-10-31,
2025-11-02,
2025-11-04,-6.390127236954868e-05
2025-11-07,5.269118264550343e-05
2025-11-01,-9.33025512495078e-06
2025-12-19,
2025-12-23,0.00011183001697645524
2025-12-18,0.00019639047968667
2025-12-25,4.742667442769744e-05
2025-12-21,7.930819992907345e-05
2025-12-24,1.795289608708117e-05
2025-12-20,
2025-12-22,
2026-07-31,-0.0002497730019968003
2026-08-01,-0.0002473062486387789
2026-08-06,0.00017748911341186613
2026-07-30,1.760762643243652e-05
2026-08-04,4.457127579371445e-05
2026-08-05,9.043663158081472e-05
2026-08-02,-0.0005527078756131232
2026-08-03,2.4498913262505084e-05
2025-09-25,0.00018745046691037717
2025-09-27,0.000157160269736778
2025-09-23,0.0007211733900476247
2025-09-24,0.0003844641614705324
2025-09-21,-0.00029504897247534245
2025-09-22,0.0004949436261085793
2025-09-28,-0.00017118359392043203
2025-09-26,-4.04461425205227e-05
2026-02-04,8.392239396926016e-05
2026-02-05,
2026-02-11,
2026-02-06,0.00013550316043620114
2026-02-09,
2026-02-07,
2026-02-08,
2026-02-10,-8.971353963715956e-05
2026-02-25,
2026-02-23,
2026-02-24,
2026-02-26,
2026-02-22,
2026-02-21,
2026-02-20,0.00024127776850946248
2026-02-27,5.503021020558663e-05
2026-04-21,
2026-04-20,-0.00011715055734384804
2026-04-19,-1.4087236195337027e-05
2026-04-22,
2026-04-18,0.00012178220913483528
2026-04-17,0.0002276742670801468
2026-04-24,8.9937326265499e-05
2026-04-23,
2026-07-09,0.0003541548976500053
2026-07-10,0.00020440514344954863
2026-07-07,-9.920078446157277e-05
2026-07-08,
2026-07-11,6.458994175773114e-05
2026-07-13,0.0003695255145430565
2026-07-06,
2026-07-12,-5.076554043625947e-05
2026-01-01,
2025-12-29,5.511990184459137e-05
2026-01-02,
2025-12-28,-9.270611917600036e-05
2025-12-30,0.000180041795829311
2025-12-31,
2025-12-26,-5.885740392841399e-05
2025-12-27,9.760569810168818e-05
2026-01-03,
2026-01-04,7.807371821400011e-05
2026-01-06,
2026-01-10,
2026-01-07,
2026-01-08,-0.0001558332733111456
2026-01-05,-0.00029861337043257663
2026-01-09,
2026-03-19,
2026-03-16,-0.00016105159738799557
2026-03-21,-3.699889202835038e-05
2026-03-22,
2026-03-23,7.684529555262998e-05
2026-03-20,-3.249073779443279e-05
2026-03-17,
2026-03-18,-9.495957056060432e-05
2026-05-15,0.0006967659574002028
2026-05-17,-0.00011739069304894656
2026-05-11,0.0001284344180021435
2026-05-16,0.00026118832829524763
2026-05-18,0.00011947086386498996
2026-05-12,-0.00010611808829708024
2026-05-14,0.0002128502674167976
2026-05-13,0.00024836306693032384
2026-08-10,-0.0001552618068672018
2026-08-07,3.976671814598376e-05
2026-08-09,0.0007832891424186528
2026-08-08,
2026-08-13,-0.0001714406389510259
2026-08-12,0.0004167708102613688
2026-08-11,0.00020057526126038283
2026-08-14,-0.00016590763698332012
2026-05-21,0.0002687348169274628
2026-05-19,6.156987092253985e-05
2026-05-23,0.0006886419141665101
2026-05-25,
2026-05-26,5.8346007790532894e-05
2026-05-20,
2026-05-22,
2026-05-24,0.00014669483425677754
