date,O3,CO,NO2,SO2
2026-01-17,0.1121721674998601,0.026980286464095116,2.8192525860504247e-05,0.0003640000442309039
2026-01-15,0.1131529733538627,--,--,--
2026-01-11,0.113425841430823,0.032078180462121964,--,--
2026-01-14,0.1115396027763684,0.023858226007885404,1.2322471775405575e-05,0.00010074088349938392
2026-01-13,0.1131408942242463,0.029537561866972182,2.0580877996205043e-05,7.621007971465587e-05
2026-01-16,0.1119399500389893,0.023581800552514885,1.497587982157711e-05,8.263296066698703e-05
2026-01-18,0.1137892365455627,--,1.697153372030395e-05,-0.00019753378971169391
2026-01-12,0.1139777188499768,0.026692762970924377,1.2378556675685104e-05,1.3512424629880115e-05
2026-04-16,0.1169597002367178,0.030205406745274863,4.01065755997681e-05,0.0006389441289778413
2026-04-13,0.1175845469037691,0.02561509609222412,2.8487696129429552e-05,8.794845178209502e-05
2026-04-15,0.1158775977790355,0.026429200172424318,4.985853253553311e-05,0.0008444990414906951
2026-04-12,0.1176161607106526,--,2.905899891629815e-05,0.0005045444532125084
2026-04-10,0.1178907925883929,0.0279003344476223,--,0.0002585088659543544
2026-04-11,0.1191191752751668,--,--,0.0004720385477412492
2026-04-09,0.1179710974295934,0.02882905552784602,3.9197747934270986e-05,1.5410130512655567e-05
2026-04-14,0.1166093111038208,0.026346478859583536,2.9826889901111522e-05,0.00026108169307311374
2026-07-28,0.118983860562245,--,4.576618084684014e-05,-0.0001517309807240963
2026-07-24,0.1164448911945025,0.03135865330696106,3.3280294802453784e-05,-3.6083363617459933e-05
2026-07-25,0.1194713259736696,0.03997468948364258,6.294176223334567e-05,0.00020862184464931488
2026-07-26,0.1212712499002615,0.03240581601858139,4.37034314553089e-05,0.00024269230974217256
2026-07-22,0.1137652729948361,0.033677927652994794,3.985553048551083e-05,1.1268121722553457e-05
2026-07-29,0.1201327251891295,0.034501876149858744,5.1028182497248054e-05,1.6274614608846605e-05
2026-07-23,0.1161980018019676,0.029971523531552018,2.987557672895491e-05,-3.707710291362471e-05
2026-07-27,0.1184853658080101,0.02869977355003357,5.9513598292445145e-05,-9.853189500669638e-05
2026-03-03,0.1125275894999504,0.03145753145217896,3.59226978616789e-05,-6.636945763602853e-05
2026-03-05,0.1122360299030939,0.020844105879465738,--,--
2026-03-06,0.1148033380508422,--,--,0.0007020319811999798
2026-03-02,0.1149757387737433,--,--,--
2026-03-01,0.1141373559832572,--,--,-0.0003032940827930967
2026-03-04,0.1125460470716158,0.02612411359260822,2.920048063970171e-05,-7.388403173536062e-05
2026-02-28,0.1135025997956593,0.027177469804883003,--,0.0002287356700334284
2026-03-07,0.1155564576387405,0.026542129339995207,--,-0.00013801385648548603
2026-07-21,0.1132702315847078,0.03224809567133586,3.378007560968399e-05,2.323754597455263e-05
2026-07-15,0.1167618704338868,0.02546970049540202,3.067423822358251e-05,-3.187055505501727e-05
2026-07-20,0.1152276284992694,0.035124985376993816,4.158498389491191e-05,3.9617097454852074e-05
